Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C17, C19, C21, C24, C26",C_0805_2012Metric,7,0.1uF,
"C10, C9",C_0805_2012Metric,2,47pF,
"C12, C13, C14",CP_EIA-3528-15_AVX-H,3,220uF,
"C15, C16, C2",C_0805_2012Metric,3,10uF,
"C18, C20",C_0805_2012Metric,2,1uF,
"C22, C6, C7, C8",C_0805_2012Metric,4,100nF,
C23,CP_EIA-3528-15_AVX-H,1,47uF,
"C25, C27",C_0805_2012Metric,2,10nF,
"C3, C4",C_0805_2012Metric,2,27pF,
C5,CP_EIA-3528-15_AVX-H,1,220uF 6.3V,
J1,DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,RGB,
"L1, L2, L3",L_0805_2012Metric,3,4.7uH,
Q1,SOT-23,1,BC817,
"R1, R3, R4, R5, R6",R_0805_2012Metric,5,4K7,
R10,R_0805_2012Metric,1,75,
"R11, R13, R14",R_0805_2012Metric,3,100,
R12,R_0805_2012Metric,1,10K,
"R15, R16, R17",R_0805_2012Metric,3,75R,
R2,R_0805_2012Metric,1,10M,
R7,R_0805_2012Metric,1,1K,
R8,R_0805_2012Metric,1,100R,
R9,R_0805_2012Metric,1,220R,
"RV1, RV2, RV3",Potentiometer_Bourns_3314G_Vertical,3,500R,
U1,SO-16_3.9x9.9mm_P1.27mm,1,74HC138,74HC138
U2,SO-14_3.9x8.65mm_P1.27mm,1,74HC32,74HC32
U3,LQFP-128_28x28mm_P0.8mm,1,V9990,V9990
"U4, U5",SOJ-40_400mil,2,KM428C256,
U6,VSSOP-10_3x3mm_P0.5mm,1,LMH1980,LMH1980MM/NOPBCT
X1,Oscillator_DIP-8,1,14.31818MHz ,CE3291-14.318180
Y1,Crystal_HC49-U_Vertical,1,21.47727Mhz,
