Designator,Mid X,Mid Y,Rotation,Layer
BUS1,157.06,-127.78,0.0,top
C1,124.2781,-118.352,180.0,bottom
C10,191.008,-83.058,0.0,bottom
C11,184.607,-83.058,180.0,bottom
C12,141.3179,-71.882,180.0,bottom
C13,149.018,-71.882,180.0,bottom
C14,156.718,-71.882,180.0,bottom
C15,163.51,-72.644,0.0,bottom
C16,184.607,-72.644,180.0,bottom
C17,184.607,-77.978,0.0,bottom
C18,175.26,-116.974,90.0,bottom
C19,175.23,-111.274,-90.0,bottom
C2,117.95,-118.352,0.0,bottom
C20,154.24,-116.334,90.0,bottom
C21,154.23,-111.354,-90.0,bottom
C22,120.904,-92.202,90.0,top
C23,120.904,-80.518,-90.0,top
C24,192.998,-88.646,-90.0,top
C25,193.04,-93.472,-90.0,top
C26,193.072,-72.898,-90.0,top
C27,193.04,-77.216,-90.0,top
C3,113.64,-79.43,180.0,bottom
C4,105.2,-79.53,180.0,bottom
C5,163.068,-88.392,0.0,bottom
C6,148.86,-83.058,180.0,bottom
C7,156.276,-83.058,180.0,bottom
C8,163.51,-83.058,180.0,bottom
C9,191.008,-77.978,0.0,bottom
J1,147.1375,-62.7003,180.0,top
L1,191.008,-72.644,180.0,bottom
L2,120.904,-86.36,-90.0,top
L3,120.904,-98.552,90.0,top
Q1,157.48,-95.25,-90.0,bottom
R1,133.604,-90.56,180.0,bottom
R10,170.942,-83.058,180.0,bottom
R11,178.0595,-83.058,180.0,bottom
R12,177.8,-72.644,180.0,bottom
R13,170.942,-77.978,0.0,bottom
R14,170.942,-72.644,0.0,bottom
R15,148.86,-77.98,0.0,bottom
R16,156.276,-77.978,0.0,bottom
R17,163.51,-77.978,0.0,bottom
R2,117.348,-73.0015,90.0,bottom
R3,127.35,-90.63,0.0,bottom
R4,140.06,-96.64,180.0,bottom
R5,133.7,-96.64,180.0,bottom
R6,127.34,-96.64,180.0,bottom
R7,139.954,-90.678,180.0,bottom
R8,163.068,-94.996,0.0,bottom
R9,170.942,-88.392,180.0,bottom
RV1,140.708,-82.46,180.0,bottom
RV2,133.288,-82.55,180.0,bottom
RV3,126.238,-82.55,180.0,bottom
U1,167.64,-113.284,90.0,bottom
U2,147.18,-113.344,90.0,bottom
U3,140.716,-91.44,90.0,top
U4,176.53,-98.298,-90.0,top
U5,176.53,-82.042,-90.0,top
U6,177.8,-76.962,180.0,bottom
X1,105.56,-92.1,0.0,top
Y1,111.88,-74.35,180.0,top
