Designator,Mid X,Mid Y,Rotation,Layer
BUS1,157.06,-127.78,0.0,top
C1,124.2781,-118.352,180.0,bottom
C10,145.92,-80.5775,90.0,bottom
C11,151.53,-80.5575,90.0,bottom
C12,166.04,-72.71,180.0,top
C13,173.7401,-72.71,180.0,top
C14,181.4401,-72.71,180.0,top
C15,187.5,-72.64,-90.0,bottom
C16,181.942,-72.64,-90.0,bottom
C17,179.67,-78.92,-90.0,bottom
C18,169.85,-116.19,90.0,bottom
C19,169.82,-110.49,-90.0,bottom
C2,117.54,-118.352,0.0,bottom
C20,149.06,-115.6419,90.0,bottom
C21,149.05,-110.6619,-90.0,bottom
C22,119.38,-93.88,-90.0,top
C23,119.59,-102.68,-90.0,top
C24,195.885,-107.445,-90.0,top
C25,195.927,-112.65,-90.0,top
C26,195.537,-88.62,-90.0,top
C27,195.505,-94.165,-90.0,top
C28,176.384,-72.64,90.0,bottom
C29,170.826,-72.64,90.0,bottom
C3,112.48,-79.02,180.0,bottom
C30,159.71,-72.76,-90.0,bottom
C31,149.991,-75.37,180.0,bottom
C32,144.64,-75.37,180.0,bottom
C33,165.268,-72.72,-90.0,bottom
C34,165.31,-78.84,-90.0,bottom
C35,133.1,-93.3,180.0,bottom
C36,139.54,-93.3,180.0,bottom
C4,105.52,-79.02,180.0,bottom
C5,158.34,-72.71,180.0,top
C6,172.87,-91.18,180.0,bottom
C7,180.13,-91.18,180.0,bottom
C8,187.43,-91.18,180.0,bottom
C9,151.32,-87.2075,90.0,bottom
J1,165.16,-62.6603,180.0,top
J2,131.44,-46.46,180.0,top
J3,122.455,-70.735,90.0,top
L1,119.38,-87.27,90.0,top
L2,119.38,-80.52,90.0,top
Q1,135.08,-87.3975,0.0,bottom
R1,124.88,-86.32,180.0,bottom
R10,140.63,-87.2375,90.0,bottom
R11,145.74,-87.2675,-90.0,bottom
R12,140.42,-80.6875,90.0,bottom
R13,192.74,-72.63,-90.0,bottom
R14,192.702,-78.115,-90.0,bottom
R15,172.7849,-86.29,0.0,bottom
R16,180.1299,-86.29,0.0,bottom
R17,187.4749,-86.29,0.0,bottom
R18,128.4489,-75.37,180.0,bottom
R19,123.1379,-75.37,180.0,bottom
R2,117.55,-73.52,90.0,bottom
R20,159.71,-78.92,90.0,bottom
R21,139.0709,-75.37,180.0,bottom
R22,133.7599,-75.37,180.0,bottom
R3,124.8875,-91.66,180.0,bottom
R4,139.52,-97.92,180.0,bottom
R5,133.16,-97.92,180.0,bottom
R6,125.0075,-97.4,180.0,bottom
R7,130.23,-87.2475,90.0,bottom
R8,130.25,-80.7575,90.0,bottom
R9,135.27,-80.7275,90.0,bottom
RV1,172.88,-99.89,0.0,bottom
RV2,180.3,-99.8,0.0,bottom
RV3,187.35,-99.8,0.0,bottom
U1,161.36,-112.69,90.0,bottom
U2,140.9,-112.75,90.0,bottom
U3,138.64,-91.07,90.0,top
U4,176.675,-105.705,-90.0,top
U5,176.675,-87.485,-90.0,top
U6,185.79,-78.92,0.0,bottom
U7,172.19,-79.0,0.0,bottom
U8,148.55,-97.78,180.0,bottom
X1,105.47,-91.76,0.0,top
Y1,111.62,-73.76,180.0,top
